L_set_count,threshold_value,B_vector,percent_positive,percent_negative
2861,1.5,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",50.98,49.02
2424,1.4,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.51,48.49
1974,1.3,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.80,48.20
1517,1.2,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.58,48.42
1370,1.5,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",50.04,49.96
1226,1.5,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",50.29,49.71
1112,1.1,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.66,48.34
1051,1.5,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",51.05,48.95
1013,1.4,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",50.49,49.51
864,1.4,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",51.79,48.21
819,1.5,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",49.27,50.73
780,1.5,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",50.83,49.17
766,1.0,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",52.41,47.59
726,1.4,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",51.44,48.56
704,1.3,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",49.65,50.35
644,1.5,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",49.30,50.70
569,1.3,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",51.58,48.42
550,1.4,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",49.36,50.64
526,1.4,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",51.99,48.01
495,1.3,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",50.00,50.00
486,0.9,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",53.80,46.20
456,1.2,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",50.11,49.89
427,1.4,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",50.23,49.77
424,1.5,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",44.24,55.76
389,1.5,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",50.77,49.23
369,1.2,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",51.08,48.92
368,1.3,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",53.12,46.88
356,1.3,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",49.86,50.14
322,1.2,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",49.85,50.15
283,1.4,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",45.77,54.23
279,1.1,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",53.21,46.79
